row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
A1001,2026-08-18,TXN-23644,Payout batch item,INR,,,,585.59,5.86,579.73
A1002,2026-08-17,TXN-20651,Merchant settlement,INR,,,,923.95,9.24,914.71
A1003,2026-08-17,RMT-23776,Refund,EUR,,,,201.10,2.01,199.09
A1004,2026-08-20,RMT-73736,Card settlement,GBP,,,,797.77,7.98,789.79
A1005,2026-08-20,INV-14346,Merchant settlement,GBP,,,,391.60,3.92,387.68
A1006,2026-08-15,INV-53116,Merchant settlement,GBP,,,,844.56,8.45,836.11
A1007,2026-08-09,PAY-39039,Remittance payout,EUR,,,,729.54,7.30,722.24
A1008,2026-08-08,RMT-82602,Card settlement,EUR,,,,51.07,0.51,50.56
A1009,2026-08-13,INV-64830,Card settlement,EUR,,,,147.90,1.48,146.42
A1010,2026-08-09,TXN-75747,Merchant settlement,USD,,,,608.14,6.08,602.06
A1011,2026-08-03,TXN-52724,Payout batch item,INR,,,,447.66,4.48,443.18
A1012,2026-08-07,PAY-29233,Payout batch item,INR,,,,549.76,5.50,544.26
