row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
A1001,2026-08-14,PAY-66181,Remittance payout,USD,,,,401.75,4.02,397.73
A1002,2026-08-09,RMT-81505,Payout batch item,INR,,,,552.62,5.53,547.09
A1003,2026-08-14,TXN-39343,Merchant settlement,EUR,,,,420.71,4.21,416.50
A1004,2026-08-14,PAY-73446,Card settlement,INR,,,,409.14,4.09,405.05
A1005,2026-08-20,PAY-16630,Remittance payout,AED,,,,360.88,3.61,357.27
A1006,2026-08-18,TXN-61439,Merchant settlement,INR,,,,430.74,4.31,426.43
A1007,2026-08-13,PAY-21627,Payout batch item,INR,,,,317.56,3.18,314.38
A1008,2026-08-20,PAY-92871,Merchant settlement,AED,,,,531.30,5.31,525.99
A1009,2026-08-16,INV-21386,Remittance payout,USD,,,,336.82,3.37,333.45
A1010,2026-08-16,INV-21386X,Remittance payout,USD,,,,336.82,3.37,333.45
