row_id,date,reference,description,currency,fx_rate,foreign_currency,foreign_amount,gross_amount,fee_amount,net_amount
A1001,2026-08-15,PAY-29974,Merchant settlement,USD,1.1031,INR,4327.01,4773.12,47.73,4725.39
A1002,2026-08-04,RMT-63301,Refund,INR,,,,47.21,0.47,46.74
A1003,2026-08-13,RMT-10302,Refund,GBP,,,,330.03,3.30,326.73
A1004,2026-08-09,INV-76569,Card settlement,INR,1.1330,AED,3995.25,4526.62,45.27,4481.35
A1005,2026-08-10,PAY-27772,Payout batch item,USD,,,,590.47,5.90,584.57
A1006,2026-08-07,RMT-22290,Merchant settlement,EUR,,,,457.07,4.57,452.50
A1007,2026-08-03,TXN-27339,Card settlement,GBP,0.9525,USD,2908.92,2770.75,27.71,2743.04
A1008,2026-08-02,PAY-45570,Refund,AED,,,,806.05,8.06,797.99
A1010,2026-08-04,TXN-39340,Merchant settlement,USD,1.0679,INR,4441.04,4742.59,47.43,4695.16
A1011,2026-08-02,TXN-89477,Remittance payout,AED,0.9408,INR,805.46,757.78,7.58,750.20
